node_1,node_2,edge
rajkummar rao,nutan ‘newton’ kumar,"The lead character of the movie is Nutan ‘Newton’ Kumar, played by Rajkummar Rao."
pankaj tripathi,assistant commandant aatma singh,Pankaj Tripathi plays the role of Assistant Commandant Aatma Singh in the movie.
anjali patil,malko netam,Anjali Patil acts as Malko Netam in the movie.
raghubir yadav,loknath,Raghubir Yadav performs the character of Loknath in the film.
danish hussain,dig of police,Danish Hussain portrays the role of DIG of Police in this movie.
mukesh prajapati,shambhu,Mukesh Prajapati plays Shambhu in the movie.
krishna singh bisht,krishna,Krishna Singh Bisht is seen as Krishna in the film.
pistak gond,the village patel,Pistak Gond plays the character of The Village Patel in the movie.
sanjay mishra,an election instructor,Sanjay Mishra has a special appearance as an Election Instructor in this film.
mukesh nagar,mangal netam,Mukesh Nagar performs the role of Mangal Netam in the movie.
bachan pachera,newton's father,Bachan Pachera plays the character of Newton's Father in this film.
kirti shreeyansh jain,newton's mother,Kirti Shreeyansh Jain acts as Newton's Mother in the movie.
omkar das manikpuri,lakhma,Omkar Das Manikpuri performs the role of Lakhma in this film.
