node_1,node_2,edge
salman khan,pawan kumar chaturvedi,Salman Khan plays the character Pawan Kumar Chaturvedi in the movie.
harshaali malhotra,shahida aziz,"Harshaali Malhotra portrays the character Shahida Aziz, a mute Pakistani girl who gets lost in India."
najeem khan,teenage pawan,Najeem Khan acts as the teenage version of Pawan Kumar Chaturvedi.
kareena kapoor khan,rasika pandey,"Kareena Kapoor Khan depicts the character Rasika Pandey, Dayanand and Archana's daughter and Pawan's love interest and fiancé."
nawazuddin siddiqui,chand nawab,"Nawazuddin Siddiqui portrays Chand Nawab, a Pakistani news reporter and Pawan's later ally."
sharat saxena,dayanand pandey,"Sharat Saxena plays Dayanand Pandey, Archana's husband and Rasika's father, Diwakar's childhood friend."
alka badola kaushal,archana pandey,"Alka Badona Kaushal acts as Archana Pandey, Dayanand's wife and Rasika's mother."
meher vij,razia aziz,"Meher Vij portrays Razia Aziz, Rauf's wife and Shahida's mother who ends up losing her in the train."
kushaal pawar,kamil yusuf,"Kushaal Pawar plays Kamil Yusuf, Chand Nawab's cameraman caught by police to get information about Pawan and Chand Nawab."
mir sarwar,rauf aziz,"Mir Sarwar acts as Rauf Aziz, Razia's husband and Shahida's father."
kamlesh gill,farookh zehrullah,"Kamlesh Gill portrays Farookh Zehrullah, a passenger in the train with Razia & Shahida."
om puri,maulana azad,"Om Puri plays Maulana Azad, a religious scholar."
adnan sami,(character name),Adnan Sami sings in the song 'Bhardo Jholi Meri'.
rajesh sharma,hamid khan,"Rajesh Sharma portrays Hamid Khan, a Pakistani senior police officer."
krunal pandit,vardhan,Krunal Pandit acts as travel agent Vardhan in Delhi.
rajesh sharma,hamid khan,"Rajesh Sharma portrays the character of Hamid Khan, a Pakistani senior police officer in the context provided."
krunal pandit,vardhan,"Krunal Pandit plays the role of Vardhan, a travel agent based in Delhi."
mursaleen qureshi,boo ali,"Mursaleen Qureshi acts as Boosmaan 'Boo' Ali, a smuggler operating at the India-Pakistan border who helps Pawan and Munni cross it illegally."
manoj bakshi,police inspector iqbal qureshi,Manoj Bakshi portrays the character of Police Inspector Iqbal Qureshi in the provided context.
harssh a. singh,shamsher ali,"Harssh A. Singh essays the role of Shamsher Ali, the head of a Pakistani news channel and Chand Nawab's supervisor in the given context."
yudhvir dahiya,pankaj verma,"Yudhvir Dahiya depicts the character of Pankaj Verma, a reporter working for NDTV in the context provided."
atul srivastava,diwakar prasad chaturvedi,"Atul Srivastava plays the character of Diwakar Prasad Chaturvedi, Pawan's father and Dayanand's childhood friend who reproaches Pawan for his failures in the provided context."
