node_1,node_2,edge
the mummy: rise of the aztecs,universal pictures,"The fourth installment of The Mummy series, titled 'The Mummy: Rise of the Aztecs', was planned by Universal Pictures."
antonio banderas,villain in the mummy: rise of the aztecs,"In 'The Mummy: Rise of the Aztecs', Antonio Banderas was to portray the villain."
brendan fraser,the mummy: rise of the aztecs,Brendan Fraser was supposedly on board for 'The Mummy: Rise of the Aztecs'.
john hannah,the mummy: rise of the aztecs,John Hannah was supposedly on board for 'The Mummy: Rise of the Aztecs'.
rob cohen,director for the mummy: rise of the aztecs,Rob Cohen was interested in directing 'The Mummy: Rise of the Aztecs'.
maria bello,fourth entry in the mummy series,Maria Bello was hopeful that a fourth entry in 'The Mummy' series would be made.
luke ford,three films in the mummy series,Series newcomer Luke Ford was signed on for three films in 'The Mummy' series.
the mummy,reimagining of van helsing,Alex Kurtzman and Roberto Orci became involved with the project shortly thereafter; signing a two-year deal with the studio to produce The Mummy as well as a 'reimagining' of Van Helsing.
jon spaihts,alien prequel prometheus,"Jon Spaihts, known for his work on the Alien prequel Prometheus,"
sean daniel,producer,Sean Daniel would act as producer.
universal,2014 release,Universitary anticipated a 2014 release.
len wiseman,director,Len Wiseman was selected to direct the film in September 2012 due to his work on Underworld.
the mummy,horror roots,Jon Spaihts hoped to take the franchise back to its horror roots and 'simultaneously open it up to an epic scale we haven't seen before'
the mummy,contemporary setting,Wiseman aimed for a contemporary setting
universal,high priority project,The project was still a high priority for Universal and was still moving 'full-speed ahead'
kurtzman,producer,"Kurtzman indicated that while The Mummy would still fall into the 'four-quadrant audience zone', the film would have a darker tone"
universal,combining scripts,Universal also prepared to combine the 'best of' both scripts if neither were up to par.
andy muschietti,replacement director for it (2019),"Muschietti was initially chosen to direct the upcoming adaptation of Stephen King's horror novel IT in 2014, but left the project due to creative differences with the producers, who preferred a family-friendly action adventure approach over Muschietti's intended darker tone."
it (novel),it (2019),Stephen King's horror novel IT served as the source material for the upcoming adaptation directed by Andy Muschietti in 2019.
may 2014,andy muschietti,"In May 2014, Andy Muschietti departed from the project to direct IT due to creative differences with the producers."
september 2014,it (2019),"By September 2014, a replacement director had been found for IT in the form of Andy Muschietti."
spaihts,screenplay for it (2019),"Gary Dauberman was initially hired to write the screenplay for IT in October 2014, but his involvement with the project came to an end by April 2016. In November of that same year, a new screenwriter named Cary Joji Fukunaga announced he would be writing and directing the film instead. However, by April 2017, it was reported that Fukunaga had exited the project due to creative differences with the producers. This led to the return of Dauberman, who worked alongside Matt Ryan and Marc Bloom in crafting the screenplay for IT."
april 2016,it (2019),"A release date for IT was announced in November 2015, with the film set to hit theaters on September 8, 2016. However, by April 2016, a new release date of September 28, 2019 was announced instead."
"september 8, 2016",it (2016),"An initial release date for IT was set for September 8, 2016."
"september 28, 2019",it (2019),"Following a series of changes in the film's production, including the departure of director Cary Joji Fukunaga and the return of screenwriter Gary Dauberman, IT was eventually released on September 6, 2019."
kurtzman,dark universe,"In April 2014, Orci would depart from his producing duties in order to focus on directing the third Star Trek film, while Kurtzman would continue developing The Mummy. This decision by Orci led to Universal pairing Kurtzman with Chris Morgan to oversee a new shared universe featuring the Universal Monsters in April 2014."
